restaurant_id,short_name,created,skip_score,location_city,cussine_list,rn
cf21c093-e24e-4f5c-8587-da3a0b820f18,1 for 1 pizza,2018-01-02 20:10:03 UTC,75,Calgary,"Halal, Chicken, Pizza, Sandwiches & Subs",1
22aa6955-81a6-485e-b953-03117867ddd2,1600 world bier haus,2018-01-02 21:58:02 UTC,91,Calgary,"Beer, Wings, Burgers, Sandwiches & Subs, Diner, Pizza, Only on Skip, International, Fusion, Pub Food",1
cd2f501e-f616-4ec5-b93c-48158620d06a,17th ave liquor boutique,2020-02-18 05:55:11 UTC,99,Calgary,"Beer, Corona, Offers, Spirits, Canadian, Wine, Liquor, Bud Light, Only on Skip, Labatt, Alcohol, Palm Bay, Budweiser, Mike's Hard, Stella Artois, Michelob Ultra",1
e3dc5a75-1543-434c-8329-e844b4c0b21b,1886 buffalo,2022-01-21 16:59:17 UTC,86,Calgary,"Lunch, Chicken, Soup, Bagels, Local Goods, Breakfast & Brunch, Wings, Food & Drinks",1
6f7c3a4f-e962-4c1b-97fc-20af371e5dbb,1886 buffalo cafe,2018-01-11 17:52:29 UTC,80,Calgary,"Homemade, Sandwiches & Subs, Lunch, Canadian, Breakfast & Brunch",1
68fb5f74-c9f0-400a-bf0e-ec111e13019e,19 kitchen cooking nw,2022-05-31 18:58:08 UTC,72,Calgary,"Seafood, Homemade, Asian, Only on Skip, Offers, Haute Cuisine",1
630222bb-98cc-4ce0-bfd2-277b9e6fbfbf,1918 tap & table,2019-01-03 19:31:26 UTC,75,Calgary,"Pasta, Sandwiches & Subs, Pizza, Burgers, Wings",1
5b99fe6e-977e-42d2-8e81-510dcecd832f,2 claw burritos,2022-11-21 16:14:31 UTC,99,Calgary,"Vegan, Only on Skip, Food & Drinks, Spanish, Latin American, Offers, Mexican, International",1
6cc994f4-9745-469b-b560-b4f84b54e82d,2 for 1 pizza house,2018-09-28 15:16:38 UTC,90,Calgary,"Pizza, Wings, Indian, Chicken, Canadian, Vegetarian, Skip Exclusive Items, Pasta, Italian, Homemade, Gluten Friendly",1
ad77cb64-5a4f-43f1-95ff-7eeb5a082a1c,2030 cafe,2020-02-24 23:11:36 UTC,85,Calgary,"Chinese, Asian, Wings, Chicken, Desserts, Noodle Shop",1
ff515840-2e0e-4e15-8ca2-58c3d66a3106,23 st cafe,2015-10-02 22:49:15 UTC,80,Calgary,"Chicken, Canadian, Sandwiches & Subs, Vegetarian",1
4ed85fc1-850b-4741-bfee-4729f55566a1,23rd street cafe,2018-01-18 19:47:36 UTC,80,Calgary,"Sandwiches & Subs, Chicken, Vegetarian, International",1
269bf177-bf45-4c67-a00b-e65381a023cf,241 pizza,2022-09-12 17:11:46 UTC,98,Calgary,"Pizza, Offers, Chicken, Fast Food",1
d8a93acd-a894-4274-82ad-9da8e6ba8d9c,2am liquor co inc,2020-03-06 23:35:59 UTC,95,Calgary,"Beer, Corona, Liquor, Spirits, Budweiser, Stella Artois, Canadian, Bud Light, Labatt, Alcohol",1
74139e93-2e64-4883-9c3a-0e7b26a6092d,360 shawarma & pizza,2018-12-17 20:38:15 UTC,80,Calgary,"Wings, Pizza, Vegetarian, Pitas, Donair, Middle Eastern",1
a8e862fa-2d78-4317-8fba-416a7693b33b,3q bistro,2016-07-19 21:52:03 UTC,80,Calgary,"Asian, Coffee/Tea, International, Chicken, Seafood, Homemade, Noodle Shop",1
5f7bcb1e-c5a7-4e44-94e3-0ba28de1ba51,4 corners,2020-10-21 00:44:25 UTC,80,Calgary,"Catering, Wings, Chicken, American, Canadian, Fast Food, Food & Drinks",1
01d1b46d-6ffd-4d63-9166-445861b2a020,402 bbq,2019-01-04 20:04:02 UTC,82,Calgary,"American, Barbecue, Sandwiches & Subs, Fast Food, Offers",1
e11dd1da-f894-414f-a984-099b7f4fe261,403 local eatery and bar,2021-02-09 22:14:52 UTC,97,Calgary,"Desserts, Pizza, Food & Drinks, Fish and Chips, Gluten Friendly",1
3e899403-5966-420c-91d4-dd1d264f6023,45 liquor,2022-11-18 19:57:14 UTC,93,Calgary,"Liquor, Spirits, Beer, Wine, Alcohol",1
fe91c783-ef45-4033-aad8-03d68aefc2ba,4th street pizza,2018-06-25 22:52:40 UTC,97,Calgary,"Donair, Italian, Pasta, Pizza, Chicken",1
b5f68176-25f4-4b94-8fce-81e5fd5c5988,5 senses ramen & sushi,2016-01-12 00:29:09 UTC,80,Calgary,"Asian, Fusion, Chicken, Catering, Desserts, Japanese, French",1
489ddbf0-7ed5-44cf-bb68-7aabbd923aea,500 cucina,2015-06-04 05:31:33 UTC,80,Calgary,"Healthy, Steakhouse, Pizza, Italian, Seafood, Offers, Chicken, Vegetarian",1
3e6fd156-dee7-41f2-8cb2-ee4e3666e3fc,500 cucina - just eat,2017-11-02 22:29:01 UTC,75,Calgary,"Healthy, Steakhouse, Pizza, Chicken, Italian, Seafood, Vegetarian",1
4970fa57-229a-4b14-88f9-3c93a673891c,58th avenue liquor store,2020-03-30 21:51:09 UTC,98,Calgary,"Beer, Labatt, Budweiser, Stella Artois, Wine, Corona, Liquor, Alcohol, Bud Light, Offers, Palm Bay, Mike's Hard",1
a6687c46-5dad-411e-8d7e-f3f1d564c4c2,6a snack bar,2020-01-28 23:52:11 UTC,93,Calgary,"Healthy, International, Asian, Offers, Desserts, Locally Sourced",1
